Date,Open,High,Low,Close,Adj Close,Volume
05/11/2018,17.959999,18.51,17.83,18.370001,18.201023,3613082
06/11/2018,18.200001,19.02,18.15,18.49,18.31992,1144169
07/11/2018,18.5,18.99,18.469999,18.879999,18.706331,4151100
08/11/2018,18.82,19.15,18.35,18.440001,18.27038,1508128
09/11/2018,18.42,18.969999,18.290001,18.84,18.6667,941594
12/11/2018,18.549999,18.799999,17.98,18.040001,17.87406,780575
13/11/2018,17.950001,18.16,17.26,17.34,17.180498,1626959
14/11/2018,17.33,17.549999,16.51,17.120001,16.962523,4298346
15/11/2018,17.370001,17.450001,16.620001,16.719999,16.5662,1214153
16/11/2018,16.719999,17,16.18,16.969999,16.969999,990545
20/11/2018,16.700001,17.129999,16.5,16.85,16.85,1131338
21/11/2018,16.870001,17.200001,16.75,16.860001,16.860001,753121
22/11/2018,17.059999,17.09,16.870001,17,17,1095569
23/11/2018,17,17.02,16.76,16.85,16.85,402988
26/11/2018,17.049999,17.049999,16.85,16.99,16.99,1303275
27/11/2018,17.1,17.700001,16.790001,17.42,17.42,1417835
28/11/2018,17.6,18.1,16.92,17.93,17.93,2604175
29/11/2018,17.889999,18.9,17.5,18.33,18.33,907873
30/11/2018,18.27,19.309999,18.1,18.440001,18.440001,3010647
03/12/2018,18.48,19.23,17.51,17.559999,17.559999,889236
04/12/2018,17.5,17.709999,17.15,17.52,17.52,869403
05/12/2018,17.65,17.809999,17.58,17.709999,17.709999,296143
06/12/2018,17.73,18.790001,17.629999,18.6,18.6,348039
07/12/2018,18.690001,19.360001,18.129999,19.280001,19.280001,913057
10/12/2018,19.129999,19.860001,19.129999,19.379999,19.379999,3170658
11/12/2018,19.42,19.84,19.42,19.799999,19.799999,1360593
13/12/2018,19.82,20.25,19.25,20.18,20.18,1478496
14/12/2018,20.24,20.24,20.040001,20.15,20.15,1112965
